Gene Symbol,Gene ID,Ensembl Gene ID
NDUFA6,4700,ENSG00000273397//ENSG00000184983//ENSG00000277365//ENSG00000272765//ENSG00000281013
DDOST,1650,ENSG00000244038
GOLGA2,2801,ENSG00000167110
HNF1B,6928,ENSG00000275410//ENSG00000276194
ACD,65057,ENSG00000102977
MMACHC,25974,ENSG00000132763
ZRANB2,9406,ENSG00000132485
nan,,-
NDFIP2,54602,ENSG00000102471
SNX16,64089,ENSG00000104497
IFNL3,282617,ENSG00000197110
MRPL22,29093,ENSG00000082515
KLRF1,51348,ENSG00000150045
POLR2A,5430,ENSG00000284832//ENSG00000181222
ZC3H8,84524,ENSG00000144161
GP1BA,2811,ENSG00000185245
LTBP4,8425,ENSG00000090006
C22orf39,128977,ENSG00000242259
EPB41L1,2036,ENSG00000088367
nan,,-
nan,,-
nan,,-
nan,,-
nan,,-
nan,,-
nan,,-
nan,,-
nan,,-
IGKV2D-24,28885,ENSG00000241566
C6orf203,,-
FAM120B,84498,ENSG00000112584//ENSG00000275333
nan,,-
RANBP10,57610,ENSG00000141084
nan,,-
DDX3X,1654,ENSG00000215301
nan,,-
ADH4,127,ENSG00000198099
MEF2C,4208,ENSG00000081189
nan,,-
CYTH2,9266,ENSG00000105443
MYO18A,399687,ENSG00000196535
nan,,-
nan,,-
UBE2A,7319,ENSG00000077721
CFH,3075,ENSG00000000971
nan,,-
TCF7L2,6934,ENSG00000148737
SYNJ1,8867,ENSG00000159082
TCRBV7S3A2,,-
TCRBV13S5,28603,ENSG00000211713
TCRBV9S1A1T,,-
TCRBV5S1A1T,,-
TCRBV12S1A1N2,28583,ENSG00000275791
TRBC2,28638,ENSG00000211772
GAS2L1,10634,ENSG00000185340
RBM47,54502,ENSG00000163694
E2F8,79733,ENSG00000129173
UBA6,55236,ENSG00000033178
MED19,219541,ENSG00000156603
UHRF1BP1L,23074,ENSG00000111647
KIAA1598,,-
Tcr-alpha,,-
TMEM223,79064,ENSG00000168569
ARHGAP10,79658,ENSG00000071205
ANO9,338440,ENSG00000185101
CCDC64B,,-
FAM168B,130074,ENSG00000152102
ILVBL,10994,ENSG00000105135
C17orf89,,-
