"ENTREZ_GENE_ID","expressed","top"
"55331","0","0"
"3093","1","0"
"5289","1","0"
"55728","1","0"
"57103","1","0"
"7289","0","0"
"8871","0","0"
"108","0","0"
"5527","1","1"
"54715","0","0"
"2782","1","0"
"3205","0","0"
"1906","0","0"
"8028","1","0"
"55063","0","0"
"117","0","0"
"26281","0","0"
"27334","1","0"
"9452","1","1"
"4898","1","0"
"7419","1","0"
"5108","1","1"
"57690","1","0"
"9139","0","0"
"1620","0","0"
"83737","1","0"
"27039","0","0"
"58476","1","0"
"51150","1","0"
"57644","0","0"
"80341","0","0"
"7161","0","0"
"54472","0","0"
"51619","0","0"
"27098","0","0"
"862","0","0"
"1015","0","0"
"9984","1","0"
"51661","0","0"
"114880","0","0"
"6507","0","0"
"7520","1","1"
"56925","0","0"
"11262","1","0"
"8569","1","0"
"7145","0","0"
"57455","0","0"
"56681","1","1"
"8556","1","0"
"10411","0","0"
"634","0","0"
"29843","1","0"
"51207","0","0"
"23152","0","0"
"3991","0","0"
"2222","1","0"
"5050","0","0"
"4983","0","0"
"173","0","0"
"3835","1","0"
"10590","0","0"
"55604","0","0"
"5236","0","0"
"1653","1","0"
"1785","1","0"
"2037","0","0"
"22999","0","0"
"26002","0","0"
"8417","0","0"
"11158","0","0"
"9817","0","0"
"55510","0","0"
"5794","0","0"
"1638","0","0"
"51006","1","0"
"131544","0","0"
"285220","0","0"
"6344","0","0"
"5991","0","0"
"55183","1","1"
"23011","1","0"
"8671","0","0"
"6595","1","1"
"50700","0","0"
"27244","1","0"
"11043","0","0"
"139212","0","0"
"50509","0","0"
"10847","1","0"
"9933","1","0"
"1361","0","0"
"1136","0","0"
"3781","0","0"
"4850","1","0"
"5663","0","0"
"1371","0","0"
"56650","1","0"
"5891","0","0"
"3320","1","1"
"5933","0","0"
"22839","0","0"
"22997","0","0"
"3080","0","0"
"114819","0","0"
"10403","0","0"
"23431","0","0"
"54665","1","0"
"260425","0","0"
"2920","0","0"
"174","0","0"
"1286","0","0"
"6932","1","1"
"28962","0","0"
"1005","0","0"
"50939","0","0"
"57092","1","0"
"55218","0","0"
"384","0","0"
"4208","0","0"
"5788","1","1"
"779","0","0"
"5317","0","0"
"79876","1","0"
"9262","1","1"
"8555","0","0"
"22869","0","0"
"4036","0","0"
"440515","1","0"
"65094","0","0"
"11266","1","0"
"65985","0","0"
"9812","1","0"
"6561","0","0"
"93664","0","0"
"56131","0","0"
"56142","0","0"
"56113","0","0"
"51668","0","0"
"23239","0","0"
"5205","0","0"
"3595","0","0"
"6604","0","0"
"55100","0","0"
"2533","1","1"
