uniprot,symbol,smB_S1R1,smB_S1R2,smB_S1R3,smB_S1R4
A0A096LPE2;P35542,SAA4,6093,7919,2216,0
A0A096LPF5,,0,0,0,0
A0A096LPI6;A0A096LNH5;H7C2G3,C21orf33,942450,1239271,795818,976375
A0A096LPJ3;A0A096LP07;A8K070,,0,0,0,0
Q9Y4K4;A0A0A0MQR1,MAP4K5,3819,0,2207,9259
Q9BY42;A0A0A0MQR2;A2A2L5;A2A2L6,RTFDC1,163317,108112,50832,54288
P27448-6;A0A0A0MQR8;P27448-7;H0YIY6,MARK3,938,0,0,0
A0A0A0MQS0;F8W9L8;A8MW92;A8MW92-2;E9PM57,PHF20L1,0,0,0,0
Q8N2M8;F5H0Q6;A0A0A0MQS2;Q8N2M8-3;Q8N2M8-4,CLASRP,14711,7825,10697,10474
A0A0A0MQS8;Q02094;A0A087WZZ4,RHAG,0,0,0,0
Q16363;A0A0A0MTC7;A0A0A0MQS9;Q16363-2,LAMA4,18672,12699,3381,10003
A0A0A0MQU4;H7C3V9,SCLY,140426,156210,89063,128636
P05013;A0A0A0MQU8,IFNA6,0,0,0,0
Q9UPS6;A0A0A0MQV9;Q9UPS6-2,SETD1B,2586,0,1932,1753
Q9UIV8;A0A0A0MQW3;Q9UIV8-2,SERPINB13,0,0,0,0
Q9NR56;C9JP00;A0A0A0MQX8;Q86VM6,MBNL1,877555,943054,420536,635628
Q8N3J5;A0A0A0MQZ4;V9GY69,PPM1K,63546,13081,0,5231
A0A0A0MR39;Q9P2K5;A0A087WUT0,MYEF2,33414,27201,20785,15892
A0A0A0MR49;Q9HCS2,CYP4F12,0,0,0,0
A0A0A0MR61;Q6UWY2,PRSS57,0,1242,0,0
A0A0A0MR66;P98175,RBM10,121535,74652,50076,76523
A0A0A0MR85;Q03013;Q03013-2,GSTM4,0,0,0,8243
Q15468;A0A0A0MR87;E9PSF2;Q15468-2;Q5T0C7,STIL,2672,0,0,0
Q8WXG6-3;A0A0A0MRB5;Q8WXG6-2;Q8WXG6;Q8WXG6-8;Q8WXG6-5;Q8WXG6-4,MADD,6913,3475,2356,3825
Q9ULH1;A0A0A0MRE5;Q9ULH1-2;H0YBF7,ASAP1,10558,14900,13285,16023
A0A0A0MRH7,,15963,9817,12575,10974
A0A0A0MRI0,,708,0,0,0
A0A0A0MRI1;Q8IXQ4;Q8IXQ4-2;Q8IXQ4-3,GPALPP1,77527,41517,15172,25239
P18847;A0A0A0MRJ2;Q5VTZ4;P18847-5,ATF3,0,0,0,0
A0A0A0MRJ3;Q8NEY1;Q8NEY1-2;Q8NEY1-7;Q8NEY1-4;Q8NEY1-3;Q8NEY1-5;Q8NEY1-6,NAV1,0,1038,2284,938
P22061;A0A0A0MRJ6;H7BY58;P22061-2;F6S8N6,PCMT1,2323948,1488378,907864,1384121
P12259;A0A0A0MRJ7,F5,6756,6873,7912,57260
Q5T8I9;A0A0A0MRN1,HENMT1,0,0,0,0
Q5VV52;Q5VV52-2;A0A0A0MRR1;Q5VV50;Q5VV52-3,ZNF691,8616,0,0,0
Q96BW1;A0A0A0MRR5;Q96BW1-3;E9PSD7,UPRT,11213,6776,4453,7202
P09234;A0A0A0MRR7,SNRPC,399899,459232,272864,274555
