ENTREZ_GENE_ID,CopyNumber_T4.naive_01_activated,CopyNumber_T4.naive_02_activated,CopyNumber_T4.naive_03_activated,CopyNumber_T4.naive_04_activated,CopyNumber_T4.naive_01_steady-state,CopyNumber_T4.naive_02_steady-state,CopyNumber_T4.naive_03_steady-state,CopyNumber_T4.naive_04_steady-state,pos,0.5,top 0.25
23291,2323,14988,22404,9818,7710,16051,14301,14908,1.0,1,0
26190,0,3606,0,0,10983,12202,6112,12013,0.625,1,0
6468,0,0,0,0,1876,994,0,1419,0.375,0,0
54461,0,0,0,0,0,0,0,0,0.0,0,0
2204,0,0,431,0,0,2235,0,597,0.375,0,0
2205,0,0,0,0,0,0,0,0,0.0,0,0
2207,0,6015,0,0,0,0,0,25224,0.25,0,0
2208,0,0,0,0,0,0,0,0,0.0,0,0
8857,0,0,0,209,0,0,0,80,0.25,0,0
2212,0,0,0,0,0,2758,0,6831,0.25,0,0
2213,4515,0,0,1523,3450,742,0,583,0.625,1,0
2215,0,0,88,128,0,0,737,0,0.375,0,0
2217,0,0,0,0,1000,141,665,0,0.375,0,0
23149,25403,13432,21271,12961,15161,14839,7840,15009,1.0,1,0
115548,375,6360,968,0,3885,1856,3204,2665,0.875,1,0
89848,3224,2689,2222,3916,16779,24244,19061,37303,1.0,1,0
9873,0,3387,189,1389,1567,617,397,938,0.875,1,0
2219,4,1361,41,9,0,160,270,152,0.875,1,0
2220,0,0,0,0,0,0,0,0,0.0,0,0
8547,0,0,0,1899,0,0,0,0,0.125,0,0
115350,0,0,0,0,3478,0,47942,0,0.25,0,0
79368,13558,0,0,0,3080,1683,0,3544,0.5,0,0
115352,14933,140297,422480,927312,151733,125251,0,508238,0.875,1,1
83416,0,0,0,0,0,0,0,0,0.0,0,0
84824,1319,0,0,449,0,656,0,0,0.375,0,0
2222,52024,105209,107351,41932,3478,5350,7905,7499,1.0,1,1
2224,596398,373978,441472,221386,128796,78016,74669,125552,1.0,1,1
2230,111529,72514,69968,98418,13046,18767,21861,11289,1.0,1,1
2232,100499,109055,111690,80705,54163,55516,61783,76466,1.0,1,1
2235,41293,68519,88092,80151,105378,126786,87684,131544,1.0,1,1
2237,1067612,1102109,1130623,496276,163645,141832,107178,187727,1.0,1,1
2241,0,0,9190,15404,0,0,0,0,0.25,0,0
83706,817936,958412,824392,516394,569415,577220,477359,666732,1.0,1,1
2242,666,0,0,0,334,202,312,886,0.625,1,0
26998,5409,0,0,1851,0,332,10203,10966,0.625,1,0
9638,0,0,0,0,0,0,0,0,0.0,0,0
2867,0,0,0,0,0,0,0,0,0.0,0,0
2243,419,141,254,1778,859,293,3915,5357,1.0,1,0
2244,440,0,3053,177,202,209,4710,2941,0.875,1,0
221472,0,0,0,643,506,0,0,2934,0.375,0,0
89846,89917,59086,62186,62777,93617,89640,56125,110235,1.0,1,1
2247,42974,17110,22797,19477,6314,0,0,0,0.625,1,0
83888,0,0,0,0,6374,5086,9361,18441,0.5,0,0
2260,0,0,622,0,0,0,0,0,0.125,0,0
26127,48891,38158,19004,45935,68460,75966,121443,82398,1.0,1,1
2266,3025,2733,2772,779,356,988,24586,26280,1.0,1,0
10875,0,0,0,1084,0,0,0,3254,0.25,0,0
2268,5527,481,5678,810,1317,3750,2831,1213,1.0,1,0
2271,695025,568597,488332,327728,185077,192646,163669,219967,1.0,1,1
2272,935,0,0,0,6167,2170,3521,6281,0.625,1,0
2273,379848,146884,154727,59722,197539,214323,157404,94679,1.0,1,1
2275,2249,0,369,3601,1802,5566,0,484,0.75,1,0
29109,28016,52362,45079,17622,1764,4261,7009,10585,1.0,1,0
9158,61945,49950,45792,31810,19123,27993,23187,34281,1.0,1,0
9896,0,2360,4334,1509,1544,3054,1435,2014,0.875,1,0
63979,2520,3652,2599,1980,0,0,0,0,0.5,0,0
