genes,aHCnaiveB_S1R1,aHCnaiveB_S1R3,aHCnaiveB_S1R4,aSLEnaiveB_S1R1,aSLEnaiveB_S1R2,aSLEnaiveB_S1R3,aSLEnaiveB_S1R4
ENSG00000022277,268,72,116,2652,2640,1774,2929
ENSG00000022355,0,24,50,0,0,0,0
ENSG00000022556,37,208,281,447,697,898,198
ENSG00000022567,19,212,392,410,222,215,247
ENSG00000022840,1095,154,270,6558,6291,6062,7819
ENSG00000022976,53,108,105,853,759,1041,1193
ENSG00000023041,429,53,94,3643,3027,3476,4142
ENSG00000023171,3,121,135,43,34,1,18
ENSG00000023191,100,182,318,5502,4049,4302,6108
ENSG00000023228,267,268,291,2468,2032,1681,2545
ENSG00000023287,113,42,106,6233,5599,4524,7379
ENSG00000023318,380,191,216,4678,5239,2824,4737
ENSG00000023330,92,120,245,552,544,288,404
ENSG00000023445,805,85,202,55715,69885,46386,85330
ENSG00000023516,144,15,71,9068,9356,6182,7498
ENSG00000023572,25,73,95,534,512,467,506
ENSG00000023608,17,20,31,308,320,267,334
ENSG00000023697,120,65,45,1172,1149,693,1219
ENSG00000023734,563,47,97,3594,3732,3041,4500
ENSG00000023839,37,142,208,355,348,278,605
ENSG00000023892,192,88,121,4357,5066,4216,5957
ENSG00000023902,509,160,204,8302,11015,6687,8719
ENSG00000023909,124,83,54,301,350,293,361
ENSG00000024048,651,172,217,5274,4171,4848,6661
ENSG00000024422,3,114,139,1,2,2,5
ENSG00000024526,2,40,41,0,0,0,1
ENSG00000024862,67,33,29,1160,952,839,1524
ENSG00000025039,31,29,77,46,30,83,121
ENSG00000025156,61,34,17,946,832,1141,1586
ENSG00000025293,699,132,205,3987,5191,3477,5130
ENSG00000025423,1,70,88,17,17,9,13
ENSG00000025434,13,111,78,66,95,61,126
ENSG00000025708,68,71,82,2829,2771,464,605
ENSG00000025770,60,149,227,3400,2804,3120,4109
ENSG00000025772,169,49,67,1021,1571,1403,2265
ENSG00000025796,248,107,191,5558,5076,3265,5951
ENSG00000025800,904,133,199,2679,3376,3183,4037
ENSG00000026025,890,77,223,5326,3581,4155,4045
ENSG00000026036,3,31,75,270,152,309,369
ENSG00000026103,5,353,269,601,241,891,233
ENSG00000026297,698,267,222,8818,8029,6258,11492
ENSG00000026508,3458,59,224,12702,13478,11964,15203
ENSG00000026559,175,208,266,1827,1955,3761,2384
ENSG00000026652,34,282,277,712,570,572,760
ENSG00000026751,18,39,23,124,57,88,65
ENSG00000026950,225,13,51,13598,6784,7701,7392
ENSG00000027001,93,98,52,630,685,402,738
ENSG00000027075,8,74,83,83,35,39,105
ENSG00000027644,0,172,122,0,0,0,1
ENSG00000027697,301,45,87,4471,4599,4410,4863
ENSG00000027847,120,87,115,1622,1151,1490,1701
ENSG00000027869,1,75,69,8,10,6,13
ENSG00000028116,53,62,41,2578,1720,1002,1420
ENSG00000028137,189,152,238,5247,3756,1946,3438
ENSG00000028203,121,98,90,1278,1404,681,1278
ENSG00000028277,803,100,159,19869,16646,14117,19960
ENSG00000028310,215,385,355,2924,2441,3063,4142
ENSG00000028528,811,193,191,4865,6221,4347,7632
ENSG00000028839,151,23,55,1298,1297,990,1721
ENSG00000029153,5,27,34,80,94,338,152
ENSG00000029363,389,78,122,20018,17971,19030,23708
ENSG00000029364,256,64,53,3300,2768,2142,3532
ENSG00000029534,33,439,463,271,319,143,228
ENSG00000029559,1,5,10,0,0,0,0
ENSG00000029639,52,33,23,393,500,329,546
ENSG00000029725,465,45,100,9244,8065,6777,11647
ENSG00000029993,4,104,116,28,52,103,150
ENSG00000030066,536,147,164,4757,4723,3280,4995
ENSG00000030110,60,46,35,1205,1070,629,1007
ENSG00000030304,3,91,45,0,0,0,0
ENSG00000030419,47,66,48,1150,2210,251,3211
ENSG00000030582,314,122,181,4389,3577,4395,3392
ENSG00000031003,355,61,78,5518,5549,3583,5457
ENSG00000031081,65,62,59,531,272,804,300
ENSG00000031691,23,49,83,300,397,94,300
ENSG00000031698,697,92,152,3308,2441,2897,3740
ENSG00000031823,147,251,214,2818,2699,2433,3798
ENSG00000032219,194,92,106,5222,4873,3991,5794
ENSG00000032389,159,211,209,1403,1550,915,1730
ENSG00000032444,87,117,208,4198,3807,4423,5111
ENSG00000032742,52,90,62,758,823,566,1200
ENSG00000033011,90,259,273,544,562,437,630
ENSG00000033030,159,144,157,2038,1972,1730,2515
ENSG00000033050,105,74,72,530,486,418,535
ENSG00000033100,107,173,135,4556,4341,3200,5003
ENSG00000033122,16,113,88,75,53,135,123
ENSG00000033170,188,86,115,1483,1395,800,1569
ENSG00000033178,145,94,153,3860,3211,2582,3940
ENSG00000033327,113,26,49,832,922,154,1037
ENSG00000033627,632,155,191,2017,3670,2894,5099
ENSG00000033800,272,71,127,4679,4097,3334,4057
ENSG00000033867,296,66,77,3557,3002,3427,6244
ENSG00000034053,6,314,331,0,0,0,0
ENSG00000034152,143,219,182,3617,4129,2130,4866
ENSG00000034239,4,126,283,0,0,0,0
ENSG00000034510,1048,38,225,47120,65219,31215,73698
ENSG00000034533,148,86,18,635,655,519,788
ENSG00000034677,381,62,122,7509,7118,7396,8440
ENSG00000034693,42,20,19,507,744,388,650
ENSG00000034713,315,86,82,3494,4299,2937,5857
ENSG00000034971,0,15,7,0,0,0,0
ENSG00000035115,170,265,422,2207,3609,2046,2712
ENSG00000035141,201,53,114,1222,1103,1429,1985
ENSG00000035403,554,111,96,1398,2074,1024,2087
ENSG00000035499,3,13,21,7,8,2,12
ENSG00000035664,11,158,128,30,40,46,61
ENSG00000035681,492,170,98,2335,2419,2434,2933
ENSG00000035687,291,42,75,2024,2380,1349,2285
ENSG00000035720,533,18,117,9506,8339,6469,10593
ENSG00000035862,130,63,53,470,646,552,581
ENSG00000035928,111,55,55,3585,3498,2557,3425
ENSG00000036054,104,63,48,1583,1577,1241,1904
ENSG00000036257,433,61,105,4661,3447,3164,5258
ENSG00000036448,15,290,175,309,363,86,247
ENSG00000036473,1,7,8,0,0,0,0
ENSG00000036530,6,206,194,3,1,7,12
ENSG00000036549,123,41,81,3543,3388,2305,3495
ENSG00000036565,1,25,46,0,0,0,0
ENSG00000036672,7,115,170,2,0,3,3
ENSG00000036828,3,189,68,0,0,0,0
ENSG00000037042,15,105,157,338,81,276,260
ENSG00000037241,16,39,49,312,301,247,361
ENSG00000037280,2,283,448,0,0,0,0
ENSG00000037474,333,102,116,3631,3644,2769,4192
ENSG00000037637,845,96,138,2512,2427,1755,2439
ENSG00000037749,44,79,52,1128,1169,1012,1334
ENSG00000037757,20,53,82,742,944,1069,1194
