"genes","naiveB_S1R1","naiveB_S1R2","naiveB_S1R3","naiveB_S1R4","naiveB_S2R1","naiveB_S2R2","naiveB_S2R3","naiveB_S2R4","naiveB_S3R1","naiveB_S3R2","naiveB_S3R3"
"ENSG00000008311","373","1853","1159","582","722","900","315","416","242","506","334"
"ENSG00000008323","0","0","0","1","0","0","6","0","0","0","0"
"ENSG00000008324","947","2302","7837","3008","112","154","142","106","264","225","95"
"ENSG00000008382","0","3","0","0","3","11","4","2","11","13","3"
"ENSG00000008394","2","0","92","69","10","17","55","11","1","1","2"
"ENSG00000008405","49","88","182","86","142","316","174","271","59","217","54"
"ENSG00000008438","0","0","0","0","0","3","3","26","0","3","0"
"ENSG00000008441","142","53","195","0","31","18","10","23","29","115","31"
"ENSG00000008513","2249","2154","509","8","2705","2843","2126","2449","1241","1421","323"
"ENSG00000008516","0","0","0","1","4","4","0","0","3","19","0"
"ENSG00000008517","262","35","49","22","2","7","26","7","1","1","0"
"ENSG00000008710","1","2","428","4","171","431","237","40","42","171","27"
"ENSG00000008735","0","0","1","1","0","0","0","0","0","0","0"
"ENSG00000008838","1","1","17","1","609","586","530","515","263","599","172"
"ENSG00000008853","168","0","0","4","439","314","271","168","298","343","51"
"ENSG00000008869","1155","1590","934","493","2901","3133","2068","1661","1843","3035","927"
"ENSG00000008952","3515","3569","14050","6362","2589","2591","1945","1702","3264","3875","1139"
"ENSG00000008988","11240","17040","38461","21221","1040","1907","1036","476","13834","8604","2437"
"ENSG00000009307","6196","9146","11878","4692","7131","10710","5460","7496","9236","13502","5873"
"ENSG00000009335","1249","268","1712","372","461","725","443","230","845","1094","319"
"ENSG00000009413","94","931","92","1014","974","1179","749","487","1345","1191","525"
"ENSG00000009694","0","0","3","61","0","13","17","0","4","4","5"
"ENSG00000009709","0","0","12","20","0","0","0","0","0","0","0"
"ENSG00000009724","0","0","0","46","39","82","37","8","376","652","137"
"ENSG00000009765","1","0","0","11","0","0","0","0","0","2","1"
"ENSG00000009780","1297","3013","11651","4064","511","475","575","680","157","324","153"
"ENSG00000009790","4234","3823","2342","1002","4229","4305","3512","3666","1457","3283","473"
"ENSG00000009830","123","0","401","19","160","113","121","33","92","234","42"
"ENSG00000009844","1459","2390","12775","1361","1017","750","926","862","349","485","223"
"ENSG00000009950","0","0","0","0","0","0","0","0","1","0","0"
"ENSG00000009954","107","626","2636","699","543","491","418","361","1276","2104","572"
"ENSG00000010017","183","1048","1068","939","138","164","113","44","641","911","259"
"ENSG00000010030","0","10","0","94","0","7","6","55","1","0","2"
"ENSG00000010072","225","184","644","228","281","191","182","257","207","402","129"
"ENSG00000010165","0","166","0","0","496","439","462","486","143","114","25"
